Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?,GPA_numeric,GPA_normalized
1,1,2,0,0,2,12,9,14,11,3,3,2,3,3,4,3,2,2,3,4,3,2,1,0,3.9066666666666654,5,2,3.3,0.7368421052631579
2,1,1,1,0,0,12,25,0,14,1,1,3,5,4,4,5,5,4,5,4,0,0,1,0,3.9066666666666654,5,2,2.8,0.4736842105263158
2,1,0,0,0,2,45,25,3,5,1,1,3,5,3,4,4,4,4,4,5,2,3,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
1,1,1,2,1,0,12,25,10,27,5,3,4,4,4,5,4,4,3,4,5,0,0,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
1,1,1,0,0,2,21,25,14,15,2,1,1,1,2,5,4,3,2,2,1,3,2,1,0,4.0,5,2,2.8,0.4736842105263158
1,1,2,0,0,2,16,25,21,5,4,4,4,5,2,4,5,5,3,5,5,2,3,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
2,1,0,1,0,0,16,7,23,1,1,2,3,5,1,3,5,5,3,5,5,0,2,1,0,3.9066666666666654,5,2,2.25,0.1842105263157895
0,1,2,2,1,1,12,25,0,30,1,3,1,4,3,4,4,5,3,2,4,2,0,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
2,1,0,0,0,2,12,25,12,18,3,3,3,4,3,4,4,5,4,4,5,2,2,1,0,3.9066666666666654,5,2,2.25,0.1842105263157895
1,1,1,1,0,0,16,11,6,26,2,2,4,5,4,4,4,5,3,5,4,2,0,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
1,1,2,2,1,1,15,14,13,1,5,4,3,5,3,4,2,4,2,2,4,0,3,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
2,1,1,0,2,0,20,17,24,12,2,2,2,4,2,4,5,4,5,4,5,0,2,1,0,3.9066666666666654,5,2,2.8,0.4736842105263158
2,1,1,0,2,0,15,11,13,17,2,2,2,5,4,4,5,5,4,5,5,0,0,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,1,2,1,0,15,4,10,26,3,3,4,4,4,4,4,5,3,4,4,2,3,1,0,3.9066666666666654,5,2,2.8,0.4736842105263158
2,1,0,0,0,0,5,25,0,5,2,2,3,4,3,4,4,3,4,5,5,0,0,1,0,3.9066666666666654,5,2,2.25,0.1842105263157895
0,1,1,2,1,0,16,11,10,27,3,3,4,4,2,4,3,5,4,3,5,2,3,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
1,1,1,0,0,2,5,17,12,18,2,2,3,3,3,4,5,5,4,5,5,0,0,1,0,3.9066666666666654,5,2,2.8,0.4736842105263158
2,1,1,2,1,1,31,18,0,27,5,3,4,3,4,5,4,4,3,4,5,2,0,1,0,4.0,5,2,2.8,0.4736842105263158
1,1,0,2,1,0,31,25,0,27,5,5,5,4,4,4,4,3,5,3,4,0,2,1,54,5.0,5,2,2.25,0.1842105263157895
1,1,1,0,0,2,21,25,1,27,3,2,2,3,2,5,5,3,3,2,1,2,2,1,0,4.0,5,2,2.8,0.4736842105263158
1,1,1,2,1,0,44,17,14,30,2,2,3,2,3,5,5,4,3,3,3,3,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,0,2,1,1,12,24,1,16,3,3,4,2,2,5,4,3,3,2,3,2,0,1,13,3.0,5,2,2.25,0.1842105263157895
0,1,1,0,0,1,21,4,14,11,3,4,5,2,3,5,4,3,3,2,2,3,3,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,1,0,0,0,38,25,14,27,4,3,3,2,2,5,4,3,3,3,2,2,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,1,0,0,0,38,7,6,11,3,2,3,3,3,5,5,2,2,2,2,0,2,1,49,4.0,5,2,2.8,0.4736842105263158
0,1,1,0,0,2,34,24,14,27,4,3,4,3,2,4,4,1,1,1,1,3,0,1,23,5.0,5,2,2.8,0.4736842105263158
0,1,1,0,0,1,11,17,1,30,4,5,5,3,5,5,5,3,4,3,3,0,0,1,53,4.0,5,2,2.8,0.4736842105263158
0,1,0,2,1,0,38,7,22,11,1,1,1,1,1,4,1,2,2,1,1,0,3,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
0,1,1,1,0,1,7,9,14,15,2,1,2,1,2,5,4,2,1,1,2,3,3,1,0,5.0,5,2,2.8,0.4736842105263158
2,1,2,2,1,0,17,25,14,16,3,3,3,3,3,5,2,1,2,2,2,2,4,1,0,4.0,5,2,3.3,0.7368421052631579
0,1,0,1,0,2,19,12,11,24,5,3,5,3,3,5,4,3,3,3,3,0,2,1,49,5.0,5,2,2.25,0.1842105263157895
0,1,0,2,1,0,44,25,17,27,3,2,2,1,2,5,2,2,2,1,1,0,2,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
1,1,0,0,0,0,21,11,10,26,5,3,2,4,3,2,4,5,3,4,3,0,2,1,0,3.9066666666666654,5,2,2.25,0.1842105263157895
0,1,1,1,0,0,42,25,14,27,5,2,2,2,2,4,4,2,2,2,1,0,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,0,1,0,2,17,4,20,5,2,5,3,4,4,5,5,5,3,4,5,2,0,1,0,3.9066666666666654,5,2,2.25,0.1842105263157895
0,1,0,2,1,0,18,0,23,6,1,1,2,4,3,5,2,5,3,1,5,2,0,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
1,1,1,1,0,2,17,9,10,18,3,3,2,3,4,4,5,5,5,5,4,0,2,1,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,0,1,0,2,45,8,21,18,4,3,4,5,3,4,3,4,5,4,5,0,0,1,56,4.0,5,2,2.25,0.1842105263157895
0,1,2,2,1,1,18,25,3,5,2,2,3,2,4,4,3,4,3,2,4,0,0,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
0,1,1,2,1,0,45,9,0,27,4,2,3,5,4,4,3,3,5,4,5,0,0,1,20,4.0,5,2,2.8,0.4736842105263158
1,1,1,1,0,2,13,25,10,14,4,4,4,5,4,5,3,4,5,3,4,0,0,1,0,4.0,5,2,2.8,0.4736842105263158
1,1,1,1,0,0,16,2,10,9,3,4,4,5,3,5,5,5,3,5,5,2,0,1,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,0,2,1,0,17,25,14,27,4,3,3,4,2,5,1,4,2,3,1,2,0,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
0,1,1,0,0,2,17,11,15,27,4,3,2,2,2,5,4,2,2,3,2,3,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,0,0,0,0,20,24,11,21,2,3,2,2,2,5,4,2,3,2,3,3,2,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
0,1,0,1,0,2,24,9,14,15,2,2,3,2,1,4,4,2,1,1,1,0,0,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
0,1,0,1,0,2,25,8,21,28,5,4,4,5,4,4,3,4,5,3,4,0,0,1,55,4.0,5,2,2.25,0.1842105263157895
1,1,1,0,0,2,44,25,14,27,3,2,2,1,1,5,4,1,2,1,2,0,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,1,0,0,0,13,8,0,27,4,3,5,3,4,4,4,4,3,4,5,0,0,1,0,4.0,5,2,2.8,0.4736842105263158
1,1,0,2,1,1,17,25,1,27,2,1,1,1,1,4,3,1,2,1,1,2,3,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
1,1,1,0,0,1,32,23,6,4,1,2,3,4,3,4,4,5,2,5,5,0,0,1,0,3.9066666666666654,5,2,2.8,0.4736842105263158
1,1,1,1,0,0,11,21,15,27,1,1,2,1,1,4,4,1,2,1,1,0,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
1,1,1,0,1,0,11,11,3,6,4,3,4,5,4,4,3,3,4,3,5,0,4,1,20,4.0,5,2,2.8,0.4736842105263158
0,1,4,0,0,1,24,9,14,15,2,1,2,1,1,3,3,1,2,1,1,2,2,1,0,3.9066666666666654,5,2,1.9,0.0
0,1,1,0,0,2,17,25,0,27,2,2,3,2,1,5,4,2,2,1,1,0,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,0,0,0,2,9,18,0,18,4,4,4,5,4,4,4,4,4,3,5,0,0,1,20,4.0,5,2,2.25,0.1842105263157895
0,1,1,2,1,1,11,25,14,27,2,2,3,1,2,4,1,2,2,1,1,3,2,1,14,3.9066666666666654,5,2,2.8,0.4736842105263158
2,1,1,1,0,2,16,2,3,6,1,3,4,4,4,5,5,5,4,5,4,2,0,1,0,3.9066666666666654,5,2,2.8,0.4736842105263158
2,1,2,0,0,2,17,21,15,27,3,2,4,2,2,5,5,1,2,2,1,0,2,1,13,3.9066666666666654,5,2,3.3,0.7368421052631579
0,1,0,0,0,2,7,25,15,27,3,2,1,2,2,3,4,2,2,2,2,3,3,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
2,1,1,0,0,2,45,6,0,14,1,2,1,2,3,1,2,3,3,3,3,2,0,1,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,0,0,1,0,1,25,21,18,5,3,4,4,4,3,4,5,4,4,5,0,0,1,23,4.0,5,2,2.25,0.1842105263157895
1,1,1,1,0,0,15,1,14,30,2,1,2,1,1,2,5,2,2,1,1,0,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,0,2,1,1,3,23,1,22,3,5,5,4,1,4,4,3,4,2,5,2,1,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
2,1,0,2,1,0,11,7,24,11,3,5,3,2,1,3,4,5,3,4,5,2,2,1,45,4.0,13,0,2.25,0.1842105263157895
1,1,4,1,0,2,10,25,18,19,2,4,5,4,3,4,5,3,3,1,4,3,2,1,51,4.0,5,2,1.9,0.0
1,1,0,1,0,2,12,21,6,11,4,3,4,3,4,3,4,3,5,5,4,1,0,1,49,3.0,5,2,2.25,0.1842105263157895
1,1,1,1,0,2,45,25,14,28,3,2,4,2,4,3,3,2,5,3,2,0,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
1,1,1,0,0,0,7,8,24,11,2,3,4,3,2,2,3,2,4,2,5,0,2,1,20,5.0,5,2,2.8,0.4736842105263158
1,1,1,2,1,0,30,25,13,27,3,4,3,2,3,2,3,3,5,2,4,3,2,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
1,1,2,2,1,1,28,7,15,11,2,2,3,2,3,2,1,2,5,2,4,0,0,1,21,4.0,5,2,3.3,0.7368421052631579
1,1,1,0,0,0,27,17,15,30,3,3,2,3,2,2,4,2,5,3,4,0,0,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
1,1,0,2,1,1,29,8,24,11,4,4,3,4,3,2,3,4,4,3,3,3,2,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
1,1,0,0,2,1,24,8,24,11,3,3,2,3,4,2,4,4,5,4,4,3,0,1,0,5.0,5,2,2.25,0.1842105263157895
1,1,0,0,0,2,29,8,24,11,4,4,4,4,4,2,4,4,5,4,4,3,0,1,0,5.0,5,2,2.25,0.1842105263157895
1,1,2,0,0,2,44,7,24,11,4,4,5,4,5,2,4,4,5,4,4,3,2,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
1,1,0,0,0,0,24,8,24,11,5,4,5,4,5,2,4,5,5,4,5,0,2,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
1,1,4,1,0,1,24,7,15,11,5,5,4,4,4,3,4,4,5,4,4,3,2,1,0,5.0,5,2,1.9,0.0
1,1,1,2,1,0,24,8,14,11,4,4,4,4,4,3,3,4,4,5,4,0,0,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
1,1,4,0,0,0,24,8,0,11,5,5,4,4,5,1,4,4,5,4,5,3,2,0,0,3.9066666666666654,5,2,1.9,0.0
1,1,0,1,0,2,24,8,14,11,4,4,4,4,5,1,4,5,5,4,4,2,2,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
1,1,0,2,1,1,24,8,14,11,5,5,4,5,5,2,2,4,5,4,5,0,2,1,0,4.0,5,2,2.25,0.1842105263157895
1,1,1,0,0,1,45,7,24,11,4,4,4,4,4,1,5,4,5,4,5,2,0,1,0,4.0,5,2,2.8,0.4736842105263158
1,1,2,2,1,1,33,25,24,27,5,4,5,4,5,1,2,4,5,5,5,0,2,1,9,5.0,5,2,3.3,0.7368421052631579
1,1,2,2,1,0,31,24,9,30,3,4,5,4,5,3,4,4,5,5,5,2,2,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
1,1,0,0,0,2,24,8,24,11,4,4,4,4,4,2,3,3,5,4,5,0,2,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
1,1,2,0,0,2,33,24,9,30,4,4,4,4,4,3,3,4,5,4,4,0,2,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
1,1,2,0,0,2,24,8,16,11,5,4,4,5,4,2,3,5,5,5,5,2,2,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
1,1,2,0,2,1,31,25,13,27,5,5,5,5,5,1,4,5,5,5,5,2,2,0,0,5.0,5,2,3.3,0.7368421052631579
1,1,1,2,1,2,24,8,0,11,4,4,4,5,5,1,3,4,5,5,5,0,0,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
0,1,1,0,2,0,20,18,3,26,4,5,3,3,2,4,3,4,2,5,4,0,3,0,0,3.9066666666666654,5,2,2.8,0.4736842105263158
2,1,4,1,0,2,30,25,16,10,4,4,2,5,4,2,4,3,4,5,3,3,0,1,23,4.0,5,2,1.9,0.0
1,1,0,1,0,2,15,9,21,26,4,5,3,2,5,4,3,4,3,5,4,3,2,1,49,3.0,5,2,2.25,0.1842105263157895
0,1,1,0,2,0,29,25,10,17,5,4,2,3,4,3,4,4,5,3,4,0,3,1,39,3.0,5,2,2.8,0.4736842105263158
0,1,1,2,1,1,21,21,10,27,4,3,3,5,4,4,3,2,3,2,5,2,2,1,0,4.0,5,2,2.8,0.4736842105263158
2,1,1,2,1,1,29,9,10,15,1,3,3,2,5,4,2,2,5,4,4,2,0,1,0,3.0,5,2,2.8,0.4736842105263158
1,1,0,0,2,0,11,8,0,11,2,5,4,5,3,3,4,3,4,4,5,0,3,1,49,4.0,5,2,2.25,0.1842105263157895
0,1,1,0,2,0,29,25,21,26,3,4,3,2,4,4,2,3,5,2,4,2,2,1,37,4.0,5,2,2.8,0.4736842105263158
0,1,2,2,1,1,34,21,10,30,1,3,3,5,3,4,3,3,5,2,4,2,2,0,0,3.9066666666666654,5,2,3.3,0.7368421052631579
1,1,0,0,2,0,1,9,0,15,1,3,3,5,3,4,5,3,3,4,4,0,1,1,0,3.9066666666666654,5,2,2.25,0.1842105263157895
0,1,2,0,2,1,11,25,3,18,1,3,3,5,3,4,3,4,3,4,5,0,1,1,0,3.9066666666666654,5,2,3.3,0.7368421052631579
0,1,1,0,2,1,44,24,11,21,1,3,2,2,3,4,3,3,5,4,4,0,1,1,45,4.0,5,2,2.8,0.4736842105263158
2,1,1,0,1,0,12,8,21,27,3,4,4,3,5,5,3,4,4,2,4,0,3,1,0,4.0,5,2,2.8,0.4736842105263158
1,1,4,1,0,2,3,8,18,14,5,4,4,5,4,3,3,4,3,5,4,3,2,1,0,4.0,5,2,1.9,0.0
0,1,2,0,1,0,37,20,12,25,3,5,4,4,3,4,3,2,5,2,4,2,2,1,0,3.0,5,2,3.3,0.7368421052631579
0,1,0,0,2,0,20,8,10,27,3,5,4,5,4,4,3,3,4,3,5,0,1,1,0,4.0,5,2,2.25,0.1842105263157895
1,1,0,2,1,1,3,9,21,17,1,2,5,5,4,3,3,2,4,4,5,0,2,0,0,3.9066666666666654,5,2,2.25,0.1842105263157895
2,1,0,0,2,1,5,25,10,27,4,2,3,5,4,3,5,4,3,4,4,1,1,1,0,3.0,5,2,2.25,0.1842105263157895
0,1,1,2,1,0,4,8,18,14,3,4,5,3,4,3,3,4,5,3,4,2,1,1,45,2.0,5,2,2.8,0.4736842105263158
2,1,0,0,0,0,7,8,10,27,4,5,4,2,1,3,4,3,4,5,4,0,3,1,0,3.0,5,2,2.25,0.1842105263157895
0,1,1,2,1,1,30,25,11,27,4,3,5,3,4,3,4,2,5,3,4,2,3,1,0,4.0,5,2,2.8,0.4736842105263158
0,1,1,1,0,2,30,24,11,16,4,4,3,5,3,4,4,3,5,4,4,3,2,1,0,2.0,5,2,2.8,0.4736842105263158
2,1,0,1,0,0,36,13,1,18,5,4,5,4,2,4,4,3,5,4,3,3,2,1,7,3.0,5,2,2.25,0.1842105263157895
