Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?,GPA_numeric,GPA_normalized
2nd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","technology, soft skills (communication, leadership)","youtube, coursera, university lms","based on interest, recommended by peers, required for exams","video lectures, notes/pdf, live sessions",5,4,5,5,5,4,5,3,5,4,5,hybrid,monthly,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,applied sciences,3.1 - 3.5,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events",science,youtube,random browsing,notes/pdf,3,3,2,3,3,4,3,2,2,3,4,physical,occasionally,yes,academic,3.9066666666666654,good,no,3.3,0.7368421052631579
3rd year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"maybe, it depends on the event",science,"youtube, university lms",based on interest,"notes/pdf, live sessions",1,1,3,5,4,4,5,5,4,5,4,hybrid,monthly,yes,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
3rd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","technology, soft skills (communication, leadership)","youtube, university lms","based on interest, recommended by peers","interactive quizzes, live sessions",1,1,3,5,3,4,4,4,4,4,5,online,rarely,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"maybe, it depends on the event",science,"youtube, university lms","based on interest, required for exams","video lectures, notes/pdf",5,3,4,4,4,5,4,4,3,4,5,hybrid,monthly,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","science, soft skills (communication, leadership)","youtube, university lms",random browsing,video lectures,2,1,1,1,2,5,4,3,2,2,1,physical,occasionally,yes,academic,4.0,good,no,2.8,0.4736842105263158
2nd year,applied sciences,3.1 - 3.5,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","science, competitive exams / certifications, soft skills (communication, leadership)","youtube, university lms",required for exams,"interactive quizzes, live sessions",4,4,4,5,2,4,5,5,3,5,5,online,rarely,no,academic,3.9066666666666654,good,no,3.3,0.7368421052631579
3rd year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"maybe, it depends on the event","science, competitive exams / certifications, soft skills (communication, leadership)","linkedin learning, university lms","required for exams, suggested by platform","discussion forums, live sessions",1,2,3,5,1,3,5,5,3,5,5,hybrid,occasionally,yes,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
1st year,applied sciences,3.1 - 3.5,introvert (i like being alone),individual sessions,"no, i prefer familiar events",science,"youtube, university lms",based on interest,"video lectures, notes/pdf, live sessions",1,3,1,4,3,4,4,5,3,2,4,online,monthly,no,academic,3.9066666666666654,good,no,3.3,0.7368421052631579
3rd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events",science,"youtube, university lms","based on interest, required for exams, suggested by platform","video lectures, interactive quizzes",3,3,3,4,3,4,4,5,4,4,5,online,occasionally,yes,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"maybe, it depends on the event","science, competitive exams / certifications, soft skills (communication, leadership)","youtube, coursera","based on interest, recommended by peers, required for exams","video lectures, live sessions",2,2,4,5,4,4,4,5,3,5,4,online,monthly,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,applied sciences,3.1 - 3.5,introvert (i like being alone),individual sessions,"no, i prefer familiar events","science, competitive exams / certifications","youtube, coursera, linkedin learning","based on interest, suggested by platform","discussion forums, live sessions",5,4,3,5,3,4,2,4,2,2,4,hybrid,rarely,no,academic,3.9066666666666654,good,no,3.3,0.7368421052631579
3rd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),no preference,"maybe, it depends on the event","science, psychology, soft skills (communication, leadership)","youtube, coursera, university lms",suggested by platform,"notes/pdf, discussion forums",2,2,2,4,2,4,5,4,5,4,5,hybrid,occasionally,yes,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
3rd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),no preference,"maybe, it depends on the event","science, competitive exams / certifications","youtube, coursera","based on interest, suggested by platform","video lectures, discussion forums, live sessions",2,2,2,5,4,4,5,5,4,5,5,hybrid,monthly,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"maybe, it depends on the event","science, competitive exams / certifications","coursera, university lms","based on interest, required for exams","video lectures, live sessions",3,3,4,4,4,4,4,5,3,4,4,online,rarely,yes,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
3rd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event","competitive exams / certifications, soft skills (communication, leadership)","youtube, university lms",based on interest,"interactive quizzes, live sessions",2,2,3,4,3,4,4,3,4,5,5,hybrid,monthly,yes,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"maybe, it depends on the event","science, competitive exams / certifications, soft skills (communication, leadership)","youtube, coursera","based on interest, required for exams","video lectures, notes/pdf",3,3,4,4,2,4,3,5,4,3,5,online,rarely,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","competitive exams / certifications, soft skills (communication, leadership)","youtube, coursera, university lms","based on interest, required for exams, suggested by platform","video lectures, interactive quizzes",2,2,3,3,3,4,5,5,4,5,5,hybrid,monthly,yes,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
3rd year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"no, i prefer familiar events","technology, psychology","youtube, khanacademy",based on interest,"video lectures, notes/pdf",5,3,4,3,4,5,4,4,3,4,5,online,monthly,yes,academic,4.0,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.0 - 2.5,introvert (i like being alone),individual sessions,"maybe, it depends on the event","technology, psychology","youtube, university lms",based on interest,"video lectures, notes/pdf",5,5,5,4,4,4,4,3,5,3,4,hybrid,occasionally,yes,tech,5.0,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","science, soft skills (communication, leadership)","youtube, university lms","based on interest, random browsing","video lectures, notes/pdf",3,2,2,3,2,5,5,3,3,2,1,online,occasionally,yes,academic,4.0,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"maybe, it depends on the event","technology, science, soft skills (communication, leadership)","youtube, coursera, university lms",random browsing,"video lectures, notes/pdf, live sessions",2,2,3,2,3,5,5,4,3,3,3,physical,occasionally,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.0 - 2.5,introvert (i like being alone),individual sessions,"no, i prefer familiar events",science,"youtube, linkedin learning, university lms","based on interest, random browsing","video lectures, discussion forums",3,3,4,2,2,5,4,3,3,2,3,online,monthly,yes,"academic,sports",3.0,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"no, i prefer familiar events","science, soft skills (communication, leadership)","coursera, university lms",random browsing,notes/pdf,3,4,5,2,3,5,4,3,3,2,2,physical,rarely,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event","technology, science, psychology","youtube, university lms",random browsing,"video lectures, notes/pdf",4,3,3,2,2,5,4,3,3,3,2,online,occasionally,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event","technology, science, psychology","linkedin learning, university lms","based on interest, recommended by peers, required for exams",notes/pdf,3,2,3,3,3,5,5,2,2,2,2,hybrid,occasionally,yes,sports,4.0,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","technology, science","youtube, linkedin learning, university lms",random browsing,"video lectures, notes/pdf",4,3,4,3,2,4,4,1,1,1,1,physical,monthly,yes,cultural,5.0,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"no, i prefer familiar events","psychology, soft skills (communication, leadership)","youtube, coursera, university lms","based on interest, random browsing","video lectures, notes/pdf, live sessions",4,5,5,3,5,5,5,3,4,3,3,hybrid,monthly,yes,"sports,acdemic,cultural",4.0,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.0 - 2.5,introvert (i like being alone),individual sessions,"maybe, it depends on the event","technology, science, psychology","linkedin learning, university lms","required for exams, random browsing",notes/pdf,1,1,1,1,1,4,1,2,2,1,1,hybrid,rarely,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"no, i prefer familiar events",psychology,youtube,random browsing,video lectures,2,1,2,1,2,5,4,2,1,1,2,physical,rarely,yes,academic,5.0,good,no,2.8,0.4736842105263158
3rd year,applied sciences,3.1 - 3.5,introvert (i like being alone),individual sessions,"maybe, it depends on the event","science, psychology","youtube, university lms",random browsing,"video lectures, discussion forums",3,3,3,3,3,5,2,1,2,2,2,online,weekly,yes,academic,4.0,good,no,3.3,0.7368421052631579
1st year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","science, psychology, competitive exams / certifications, soft skills (communication, leadership)","youtube, coursera, khanacademy, linkedin learning, university lms","based on interest, required for exams, random browsing","video lectures, interactive quizzes, notes/pdf, discussion forums, live sessions",5,3,5,3,3,5,4,3,3,3,3,hybrid,occasionally,yes,sports,5.0,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.0 - 2.5,introvert (i like being alone),individual sessions,"maybe, it depends on the event","technology, science, soft skills (communication, leadership)","youtube, university lms","recommended by peers, random browsing","video lectures, notes/pdf",3,2,2,1,2,5,2,2,2,1,1,hybrid,occasionally,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event","science, soft skills (communication, leadership)","youtube, coursera","based on interest, required for exams","video lectures, live sessions",5,3,2,4,3,2,4,5,3,4,3,hybrid,occasionally,yes,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"maybe, it depends on the event","technology, science, psychology, competitive exams / certifications, soft skills (communication, leadership)","youtube, university lms",random browsing,"video lectures, notes/pdf",5,2,2,2,2,4,4,2,2,2,1,hybrid,occasionally,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","science, psychology","coursera, university lms","recommended by peers, suggested by platform","interactive quizzes, live sessions",2,5,3,4,4,5,5,5,3,4,5,online,monthly,yes,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.0 - 2.5,introvert (i like being alone),individual sessions,"maybe, it depends on the event","science, psychology, competitive exams / certifications","coursera, khanacademy","required for exams, suggested by platform","interactive quizzes, notes/pdf",1,1,2,4,3,5,2,5,3,1,5,online,monthly,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","science, psychology",youtube,"based on interest, required for exams","video lectures, interactive quizzes",3,3,2,3,4,4,5,5,5,5,4,hybrid,occasionally,yes,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","technology, soft skills (communication, leadership)",university lms,required for exams,"video lectures, interactive quizzes",4,3,4,5,3,4,3,4,5,4,5,hybrid,monthly,yes,tech events,4.0,good,no,2.25,0.1842105263157895
1st year,applied sciences,3.1 - 3.5,introvert (i like being alone),individual sessions,"no, i prefer familiar events","science, psychology, competitive exams / certifications","youtube, university lms","based on interest, recommended by peers","interactive quizzes, live sessions",2,2,3,2,4,4,3,4,3,2,4,hybrid,monthly,no,academic,3.9066666666666654,good,no,3.3,0.7368421052631579
1st year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"maybe, it depends on the event","technology, soft skills (communication, leadership)",youtube,based on interest,"video lectures, notes/pdf",4,2,3,5,4,4,3,3,5,4,5,hybrid,monthly,yes,career-related,4.0,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","science, business & management","youtube, university lms","based on interest, required for exams","notes/pdf, live sessions",4,4,4,5,4,5,3,4,5,3,4,hybrid,monthly,yes,academic,4.0,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"maybe, it depends on the event","science, competitive exams / certifications, soft skills (communication, leadership)","coursera, linkedin learning","based on interest, required for exams","interactive quizzes, notes/pdf, live sessions",3,4,4,5,3,5,5,5,3,5,5,online,monthly,yes,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.0 - 2.5,introvert (i like being alone),individual sessions,"maybe, it depends on the event","science, psychology","youtube, university lms",random browsing,"video lectures, notes/pdf",4,3,3,4,2,5,1,4,2,3,1,online,monthly,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","science, psychology","youtube, coursera","random browsing, suggested by platform","video lectures, notes/pdf",4,3,2,2,2,5,4,2,2,3,2,physical,occasionally,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event","science, psychology, soft skills (communication, leadership)","youtube, linkedin learning, university lms","based on interest, required for exams, random browsing","video lectures, interactive quizzes, live sessions",2,3,2,2,2,5,4,2,3,2,3,physical,occasionally,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events",technology,youtube,random browsing,video lectures,2,2,3,2,1,4,4,2,1,1,1,hybrid,monthly,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","technology, business & management",university lms,required for exams,"video lectures, notes/pdf, discussion forums",5,4,4,5,4,4,3,4,5,3,4,hybrid,monthly,yes,tech event,4.0,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","technology, science, soft skills (communication, leadership)","youtube, university lms",random browsing,"video lectures, notes/pdf",3,2,2,1,1,5,4,1,2,1,2,hybrid,occasionally,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event","science, business & management",university lms,based on interest,"video lectures, notes/pdf",4,3,5,3,4,4,4,4,3,4,5,hybrid,monthly,yes,academic,4.0,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.0 - 2.5,introvert (i like being alone),individual sessions,"no, i prefer familiar events","science, psychology","youtube, university lms","based on interest, random browsing","video lectures, notes/pdf",2,1,1,1,1,4,3,1,2,1,1,online,rarely,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"no, i prefer familiar events","technology, psychology, competitive exams / certifications, soft skills (communication, leadership)","youtube, linkedin learning","based on interest, recommended by peers, required for exams","interactive quizzes, discussion forums, live sessions",1,2,3,4,3,4,4,5,2,5,5,hybrid,monthly,yes,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"maybe, it depends on the event","psychology, soft skills (communication, leadership)","youtube, khanacademy, university lms","random browsing, suggested by platform","video lectures, notes/pdf",1,1,2,1,1,4,4,1,2,1,1,hybrid,occasionally,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),individual sessions,"maybe, it depends on the event","psychology, soft skills (communication, leadership)","youtube, coursera","based on interest, recommended by peers","interactive quizzes, notes/pdf",4,3,4,5,4,4,3,3,4,3,5,hybrid,weekly,yes,career-related,4.0,good,no,2.8,0.4736842105263158
1st year,applied sciences,below 2.0,ambivert (i like both alone time and being with people),group activities,"no, i prefer familiar events",technology,youtube,random browsing,video lectures,2,1,2,1,1,3,3,1,2,1,1,online,occasionally,yes,academic,3.9066666666666654,good,no,1.9,0.0
1st year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","science, psychology","youtube, university lms",based on interest,"video lectures, notes/pdf",2,2,3,2,1,5,4,2,2,1,1,hybrid,occasionally,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","psychology, competitive exams / certifications","youtube, khanacademy",based on interest,"video lectures, interactive quizzes",4,4,4,5,4,4,4,4,4,3,5,hybrid,monthly,yes,career-related,4.0,good,no,2.25,0.1842105263157895
1st year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"no, i prefer familiar events","psychology, soft skills (communication, leadership)","youtube, university lms",random browsing,"video lectures, notes/pdf",2,2,3,1,2,4,1,2,2,1,1,physical,occasionally,yes,academy,3.9066666666666654,good,no,2.8,0.4736842105263158
3rd year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","science, competitive exams / certifications, soft skills (communication, leadership)","coursera, linkedin learning","based on interest, recommended by peers","interactive quizzes, notes/pdf",1,3,4,4,4,5,5,5,4,5,4,online,monthly,yes,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
3rd year,applied sciences,3.1 - 3.5,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","science, psychology","youtube, khanacademy, university lms","random browsing, suggested by platform","video lectures, notes/pdf",3,2,4,2,2,5,5,1,2,2,1,hybrid,occasionally,yes,"academic,sports",3.9066666666666654,good,no,3.3,0.7368421052631579
1st year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events",psychology,"youtube, university lms","random browsing, suggested by platform","video lectures, notes/pdf",3,2,1,2,2,3,4,2,2,2,2,physical,rarely,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
3rd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","technology, soft skills (communication, leadership)","khanacademy, university lms",based on interest,"notes/pdf, live sessions",1,2,1,2,3,1,2,3,3,3,3,online,monthly,yes,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),individual sessions,"maybe, it depends on the event","business & management, competitive exams / certifications","youtube, university lms",required for exams,"video lectures, interactive quizzes",5,3,4,4,4,3,4,5,4,4,5,hybrid,monthly,yes,cultural,4.0,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"maybe, it depends on the event","science, competitive exams / certifications","coursera, khanacademy, university lms",random browsing,"video lectures, notes/pdf, live sessions",2,1,2,1,1,2,5,2,2,1,1,hybrid,occasionally,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.0 - 2.5,introvert (i like being alone),individual sessions,"no, i prefer familiar events","business & management, soft skills (communication, leadership)","youtube, linkedin learning","based on interest, random browsing","video lectures, interactive quizzes, notes/pdf",3,5,5,4,1,4,4,3,4,2,5,online,no preference,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
3rd year,applied sciences,2.0 - 2.5,introvert (i like being alone),individual sessions,"maybe, it depends on the event","psychology, soft skills (communication, leadership)","linkedin learning, university lms",suggested by platform,notes/pdf,3,5,3,2,1,3,4,5,3,4,5,online,occasionally,yes,social,4.0,meet new people,-,2.25,0.1842105263157895
2nd year,applied sciences,below 2.0,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","psychology, competitive exams / certifications, soft skills (communication, leadership)","youtube, university lms","recommended by peers, required for exams","video lectures, interactive quizzes, discussion forums",2,4,5,4,3,4,5,3,3,1,4,physical,occasionally,yes,sports meet,4.0,good,no,1.9,0.0
2nd year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events",science,"youtube, khanacademy, university lms","based on interest, recommended by peers, required for exams",notes/pdf,4,3,4,3,4,3,4,3,5,5,4,no preference,monthly,yes,sports,3.0,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events","technology, soft skills (communication, leadership)","youtube, university lms",random browsing,"video lectures, notes/pdf, discussion forums",3,2,4,2,4,3,3,2,5,3,2,hybrid,occasionally,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event",psychology,university lms,suggested by platform,notes/pdf,2,3,4,3,2,2,3,2,4,2,5,hybrid,occasionally,yes,career-related,5.0,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"maybe, it depends on the event","technology, competitive exams / certifications, soft skills (communication, leadership)","youtube, university lms","based on interest, suggested by platform","video lectures, notes/pdf",3,4,3,2,3,2,3,3,5,2,4,physical,occasionally,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,applied sciences,3.1 - 3.5,introvert (i like being alone),individual sessions,"no, i prefer familiar events","technology, business & management, soft skills (communication, leadership)","linkedin learning, university lms","random browsing, suggested by platform",notes/pdf,2,2,3,2,3,2,1,2,5,2,4,hybrid,monthly,yes,"career-related ,academic",4.0,good,no,3.3,0.7368421052631579
2nd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event","technology, business & management, competitive exams / certifications, soft skills (communication, leadership)","youtube, coursera, university lms","random browsing, suggested by platform","video lectures, notes/pdf, live sessions",3,3,2,3,2,2,4,2,5,3,4,hybrid,monthly,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.0 - 2.5,introvert (i like being alone),individual sessions,"no, i prefer familiar events","technology, competitive exams / certifications",university lms,suggested by platform,notes/pdf,4,4,3,4,3,2,3,4,4,3,3,physical,occasionally,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),no preference,"no, i prefer familiar events",technology,university lms,suggested by platform,notes/pdf,3,3,2,3,4,2,4,4,5,4,4,physical,monthly,yes,academic,5.0,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","technology, competitive exams / certifications",university lms,suggested by platform,notes/pdf,4,4,4,4,4,2,4,4,5,4,4,physical,monthly,yes,academic,5.0,good,no,2.25,0.1842105263157895
2nd year,applied sciences,3.1 - 3.5,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","technology, science, soft skills (communication, leadership)","linkedin learning, university lms",suggested by platform,notes/pdf,4,4,5,4,5,2,4,4,5,4,4,physical,occasionally,no,academic,3.9066666666666654,good,no,3.3,0.7368421052631579
2nd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event",technology,university lms,suggested by platform,notes/pdf,5,4,5,4,5,2,4,5,5,4,5,hybrid,occasionally,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
2nd year,applied sciences,below 2.0,extrovert (i enjoy being with others),group activities,"no, i prefer familiar events",technology,"linkedin learning, university lms","random browsing, suggested by platform",notes/pdf,5,5,4,4,4,3,4,4,5,4,4,physical,occasionally,yes,academic,5.0,good,no,1.9,0.0
2nd year,applied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"maybe, it depends on the event",technology,university lms,random browsing,notes/pdf,4,4,4,4,4,3,3,4,4,5,4,hybrid,monthly,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,applied sciences,below 2.0,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event",technology,university lms,based on interest,notes/pdf,5,5,4,4,5,1,4,4,5,4,5,physical,occasionally,no,academic,3.9066666666666654,good,no,1.9,0.0
2nd year,applied sciences,2.0 - 2.5,extrovert (i enjoy being with others),group activities,"yes, i’m open to trying new events",technology,university lms,random browsing,notes/pdf,4,4,4,4,5,1,4,5,5,4,4,online,occasionally,no,academic,3.9066666666666654,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.0 - 2.5,introvert (i like being alone),individual sessions,"no, i prefer familiar events",technology,university lms,random browsing,notes/pdf,5,5,4,5,5,2,2,4,5,4,5,hybrid,occasionally,yes,academic,4.0,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"no, i prefer familiar events","technology, soft skills (communication, leadership)","linkedin learning, university lms",suggested by platform,notes/pdf,4,4,4,4,4,1,5,4,5,4,5,online,monthly,yes,academic,4.0,good,no,2.8,0.4736842105263158
2nd year,applied sciences,3.1 - 3.5,introvert (i like being alone),individual sessions,"no, i prefer familiar events","technology, psychology, soft skills (communication, leadership)","youtube, university lms",suggested by platform,"video lectures, notes/pdf",5,4,5,4,5,1,2,4,5,5,5,hybrid,occasionally,yes,"academic,career-related",5.0,good,no,3.3,0.7368421052631579
2nd year,applied sciences,3.1 - 3.5,introvert (i like being alone),individual sessions,"maybe, it depends on the event","technology, psychology","youtube, linkedin learning, university lms","based on interest, recommended by peers, suggested by platform","video lectures, notes/pdf, live sessions",3,4,5,4,5,3,4,4,5,5,5,online,occasionally,no,academic,3.9066666666666654,good,no,3.3,0.7368421052631579
