Timestamp,Year of study,Faculty ,Your GPA Range  ,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events? ,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences? 
04/08/2025 00:17:03,1st Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"No, I prefer familiar events","Psychology, Soft Skills (Communication, Leadership)","YouTube, Coursera, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF, Live Sessions",4,5,5,3,5,5,5,3,4,3,3,Hybrid,Monthly,Yes,"sports,Acdemic,Cultural",4,,
04/08/2025 00:19:13,1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Technology, Science, Psychology","LinkedIn Learning, University LMS","Required for exams, Random browsing",Notes/PDF,1,1,1,1,1,4,1,2,2,1,1,Hybrid,Rarely,No,,,,
04/08/2025 00:20:51,1st Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"No, I prefer familiar events",Psychology,YouTube,Random browsing,Video Lectures,2,1,2,1,2,5,4,2,1,1,2,Physical,Rarely,Yes,Academic,5,,
04/08/2025 00:22:55,3rd Year,Applied Sciences,3.1 – 3.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Psychology","YouTube, University LMS",Random browsing,"Video Lectures, Discussion Forums",3,3,3,3,3,5,2,1,2,2,2,Online,Weekly,Yes,Academic,4,,
04/08/2025 00:24:37,1st Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Science, Psychology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera, KhanAcademy, LinkedIn Learning, University LMS","Based on interest, Required for exams, Random browsing","Video Lectures, Interactive Quizzes, Notes/PDF, Discussion Forums, Live Sessions",5,3,5,3,3,5,4,3,3,3,3,Hybrid,Occasionally,Yes,Sports,5,,
04/08/2025 00:26:06,1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Technology, Science, Soft Skills (Communication, Leadership)","YouTube, University LMS","Recommended by peers, Random browsing","Video Lectures, Notes/PDF",3,2,2,1,2,5,2,2,2,1,1,Hybrid,Occasionally,No,,,,
04/08/2025 00:41:58,2nd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Science, Soft Skills (Communication, Leadership)","YouTube, Coursera","Based on interest, Required for exams","Video Lectures, Live Sessions",5,3,2,4,3,2,4,5,3,4,3,Hybrid,Occasionally,Yes,,,,
04/08/2025 00:48:26,1st Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Maybe, it depends on the event","Technology, Science, Psychology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, University LMS",Random browsing,"Video Lectures, Notes/PDF",5,2,2,2,2,4,4,2,2,2,1,Hybrid,Occasionally,No,,,,
04/08/2025 00:55:46,1st Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Science, Psychology","Coursera, University LMS","Recommended by peers, Suggested by platform","Interactive Quizzes, Live Sessions",2,5,3,4,4,5,5,5,3,4,5,Online,Monthly,Yes,,,,
04/08/2025 01:03:06,1st Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Science, Psychology, Competitive Exams / Certifications","Coursera, KhanAcademy","Required for exams, Suggested by platform","Interactive Quizzes, Notes/PDF",1,1,2,4,3,5,2,5,3,1,5,Online,Monthly,No,,,,
