Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),No preference,"Maybe, it depends on the event",Technology,"YouTube, Coursera",Based on interest,"Video Lectures, Notes/PDF",1,1,1,1,1,1,1,1,3,1,4,Hybrid,Occasionally,Yes,Academic,4.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Technology, Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy","Based on interest, Recommended by peers, Required for exams, Random browsing","Notes/PDF, Discussion Forums, Live Sessions",1,4,5,5,4,5,5,5,3,5,4,Hybrid,Monthly,Yes,"Club activities, exhibitions",5.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Introvert (I like being alone),No preference,"Maybe, it depends on the event","Technology, Business & Management","YouTube, Coursera, Simplilearn","Based on interest, Recommended by peers, Required for exams","Video Lectures, Notes/PDF",4,5,3,3,5,4,4,4,4,4,4,Physical,Monthly,Yes,"Social and cultural events, Academic sessions, Faculty meets, Inter university Games",4.0,Collected memories and gathered experiences.,-
3rd Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Individual sessions,"Yes, I’m open to trying new events","Soft Skills (Communication, Leadership)",YouTube,Based on interest,Notes/PDF,5,2,4,3,5,5,4,2,3,4,4,Online,Weekly,Yes,Academic ,4.0,Good,No
3rd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Science, Soft Skills (Communication, Leadership), Arts, Music","YouTube, KhanAcademy, University LMS, Chat GPT","Based on interest, Recommended by peers","Interactive Quizzes, Notes/PDF, Discussion Forums, Live Sessions",4,5,4,3,5,3,3,4,3,3,4,Physical,Weekly,Yes,"Hikes, Ledership programs",4.0,Hikes,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),No preference,"No, I prefer familiar events","Technology, Soft Skills (Communication, Leadership)",YouTube,"Recommended by peers, Required for exams, Random browsing, Suggested by platform","Interactive Quizzes, Notes/PDF",5,5,2,2,1,3,3,3,2,5,2,Physical,Occasionally,Yes,Social,5.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),No preference,"Maybe, it depends on the event","Psychology, Business & Management, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera, LinkedIn Learning","Based on interest, Recommended by peers, Required for exams, Random browsing","Video Lectures, Notes/PDF, Discussion Forums",4,4,3,3,2,4,5,4,5,4,5,Physical,Occasionally,Yes,Interfaculty sports,5.0,Good,No
3rd Year,Applied Sciences,2.0 – 2.5,Introvert (I like being alone),No preference,"No, I prefer familiar events","Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, University LMS, W3school","Based on interest, Recommended by peers","Video Lectures, Discussion Forums",4,1,4,1,3,3,3,2,3,4,3,Hybrid,Monthly,No,Academic,3.9066666666666667,Good,No
3rd Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Science, Business & Management, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)",YouTube,"Based on interest, Recommended by peers","Interactive Quizzes, Notes/PDF",5,3,5,5,3,2,2,4,3,4,3,Physical,Occasionally,Yes,"Faculty sports meet, volunteering projects organized by Rotaract club of Rajarata University, Faxexplore Exhibition 25’",4.0,Good,No
3rd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event",Business & Management,"YouTube, LinkedIn Learning, University LMS","Based on interest, Recommended by peers, Required for exams","Video Lectures, Notes/PDF",1,5,3,3,5,3,3,5,3,5,3,Hybrid,Occasionally,Yes,"FAS EXPLORE, Fresher's night, Going down",5.0,Social events,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events",Creativity,YouTube,Based on interest,Video Lectures,4,1,4,3,4,3,4,2,4,3,3,Physical,Occasionally,Yes,Faculty Day,3.0,Games,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Technology, Science, Psychology","YouTube, Coursera, LinkedIn Learning, University LMS","Based on interest, Suggested by platform",Video Lectures,1,4,3,1,1,4,4,3,2,4,1,Online,Monthly,Yes,Academic,3.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Maybe, it depends on the event","Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, University LMS, ","Based on interest, Required for exams","Interactive Quizzes, Notes/PDF",2,2,2,3,1,2,2,3,3,3,2,Online,Rarely,Yes,"Career related, Academic ",3.0,Some of them were motivated us and they showed the right path for a better choice,-
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events","Technology, Science, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera, LinkedIn Learning, University LMS","Based on interest, Recommended by peers, Required for exams, Random browsing","Video Lectures, Interactive Quizzes, Discussion Forums, Live Sessions",1,3,2,3,1,5,4,1,4,1,5,Hybrid,Monthly,Yes,Academic,4.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"No, I prefer familiar events","Technology, Science, Soft Skills (Communication, Leadership)","YouTube, Coursera, University LMS","Based on interest, Recommended by peers, Random browsing","Video Lectures, Notes/PDF",5,5,3,3,3,3,3,5,3,5,3,Physical,Weekly,Yes,Academic,5.0,Good,No
3rd Year,Applied Sciences,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Technology, Competitive Exams / Certifications, Soft Skills (Communication, Leadership)","YouTube, Coursera, KhanAcademy, LinkedIn Learning, University LMS","Based on interest, Required for exams, Suggested by platform","Video Lectures, Interactive Quizzes, Live Sessions",5,3,3,5,3,5,5,5,5,5,5,Online,Monthly,No,Academic,3.9066666666666667,Good,No
Postgraduate,Technology,3.1 – 3.5,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events",Competitive Exams / Certifications,YouTube,Based on interest,Video Lectures,3,4,5,4,4,4,4,4,4,5,5,Hybrid,Weekly,Yes,Career ,4.0,Good,No
1st Year,Applied Sciences,2.0 – 2.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Technology, Business & Management, Competitive Exams / Certifications","YouTube, LinkedIn Learning, University LMS","Recommended by peers, Required for exams","Interactive Quizzes, Discussion Forums, Live Sessions",5,3,5,4,2,4,5,5,3,4,2,Physical,Monthly,Yes,"Sports , cultural",4.0,Good,No
2nd Year,Agriculture,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Maybe, it depends on the event","Science, Psychology","YouTube, University LMS","Recommended by peers, Required for exams","Video Lectures, Notes/PDF",3,4,5,3,2,3,2,4,2,4,4,Hybrid,Occasionally,Yes,Sports,4.0,Good,No
4th Year,Agriculture,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events","Technology, Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, LinkedIn Learning, University LMS","Based on interest, Recommended by peers, Random browsing, Suggested by platform","Video Lectures, Notes/PDF, Live Sessions",3,1,5,3,4,5,3,3,4,2,2,Hybrid,Occasionally,Yes,Academic,3.0,Good,No
4th Year,Medical & Allied Sciences,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy, University LMS","Based on interest, Recommended by peers, Random browsing","Video Lectures, Notes/PDF, Discussion Forums, Live Sessions",3,1,3,3,3,5,5,3,3,2,2,Hybrid,Occasionally,Yes,"Academic,career-related",4.0, were informative and engaging,no
2nd Year,Medical & Allied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events","Technology, Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy, LinkedIn Learning, University LMS","Based on interest, Recommended by peers, Required for exams, Random browsing","Video Lectures, Interactive Quizzes, Notes/PDF, Discussion Forums, Live Sessions",2,1,2,2,2,5,5,2,2,2,3,Hybrid,Occasionally,Yes,Academic,4.0,"I liked that the events let us share our ideas and talents.

",No
3rd Year,Management Studies,3.1 – 3.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Business & Management, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF",3,1,2,4,2,4,4,2,2,2,2,Hybrid,Monthly,No,Academic,3.9066666666666667,Good,no
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Individual sessions,"Yes, I’m open to trying new events","Technology, Science, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF, Live Sessions",2,2,3,1,1,4,4,1,1,1,2,Hybrid,Occasionally,Yes,social,3.0,Good,No
4th Year,Agriculture,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Maybe, it depends on the event","Technology, Science, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF, Discussion Forums",3,2,2,2,2,5,3,2,2,2,2,Hybrid,Occasionally,Yes,"Academic,new year celebration,sports",4.0,Good,-
3rd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Soft Skills (Communication, Leadership)","YouTube, KhanAcademy, University LMS","Based on interest, Recommended by peers","Video Lectures, Notes/PDF",5,3,2,2,2,4,4,2,1,1,1,Hybrid,Monthly,Yes,sports,4.0,Good,-
2nd Year,Applied Sciences,2.0 – 2.5,Ambivert (I like both alone time and being with people),Individual sessions,"Maybe, it depends on the event",Science,"YouTube, Coursera","Random browsing, Suggested by platform","Video Lectures, Notes/PDF",5,1,1,1,1,4,3,2,2,1,1,Hybrid,Monthly,Yes,sports,4.0,Good,No
3rd Year,Technology,2.6 – 3.0,Introvert (I like being alone),Individual sessions,"Yes, I’m open to trying new events","Technology, Competitive Exams / Certifications","LinkedIn Learning, University LMS","Based on interest, Required for exams, Suggested by platform","Interactive Quizzes, Live Sessions",5,4,4,4,5,5,5,5,5,4,5,Online,Rarely,Yes,Academic ,5.0,Good,No
2nd Year,Management Studies,3.1 – 3.5,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Science, Competitive Exams / Certifications","Coursera, LinkedIn Learning",Required for exams,"Interactive Quizzes, Live Sessions",3,4,3,5,5,5,5,5,5,5,5,Physical,Monthly,No,Academic,3.9066666666666667,Good,no
2nd Year,Applied Sciences,2.6 – 3.0,Ambivert (I like both alone time and being with people),Group activities,"Maybe, it depends on the event","Science, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Random browsing",Notes/PDF,2,1,1,1,2,5,5,3,2,2,3,Hybrid,Occasionally,No,Academic,3.9066666666666667,Good,No
1st Year,Management Studies,2.0 – 2.5,Ambivert (I like both alone time and being with people),Group activities,"Yes, I’m open to trying new events","Science, Business & Management","YouTube, University LMS","Based on interest, Suggested by platform","Video Lectures, Discussion Forums",4,1,2,1,1,5,5,2,2,2,1,Physical,Occasionally,Yes,cultural,3.0,Good,No
4th Year,Applied Sciences,3.6 – 4.0,Ambivert (I like both alone time and being with people),Individual sessions,"Maybe, it depends on the event","Technology, Science, Psychology, Soft Skills (Communication, Leadership)","YouTube, Coursera, LinkedIn Learning, University LMS","Based on interest, Recommended by peers, Random browsing","Video Lectures, Notes/PDF, Discussion Forums, Live Sessions",3,2,2,3,1,5,5,3,2,2,2,Hybrid,Occasionally,Yes,"Academic,cultural",5.0,Good,No
2nd Year,Management Studies,2.6 – 3.0,Extrovert (I enjoy being with others),Group activities,"Yes, I’m open to trying new events","Business & Management, Soft Skills (Communication, Leadership)","YouTube, University LMS","Based on interest, Random browsing","Video Lectures, Notes/PDF",2,2,1,1,1,5,5,2,3,2,2,Hybrid,Rarely,No,Academic,3.9066666666666667,Good,No
